actual_cost,date,items,quantity,row_id,row_name,drug
588011.94,2020-04-01,10672,415671.0,,england,Atomoxetine
557798.66,2020-05-01,10154,396344.0,,england,Atomoxetine
573877.23,2020-06-01,10496,407485.0,,england,Atomoxetine
595733.45,2020-07-01,10907,431343.0,,england,Atomoxetine
531902.57,2020-08-01,9800,382748.0,,england,Atomoxetine
583405.4,2020-09-01,10633,429982.0,,england,Atomoxetine
596583.07,2020-10-01,11127,436313.0,,england,Atomoxetine
575627.1,2020-11-01,10680,423462.0,,england,Atomoxetine
622757.6,2020-12-01,11579,457639.0,,england,Atomoxetine
589095.53,2021-01-01,10923,431725.0,,england,Atomoxetine
550433.66,2021-02-01,10381,402203.0,,england,Atomoxetine
625539.57,2021-03-01,11616,463358.0,,england,Atomoxetine
606766.36,2021-04-01,11431,454422.0,,england,Atomoxetine
585587.12,2021-05-01,10904,433139.0,,england,Atomoxetine
628275.56,2021-06-01,11794,461066.0,,england,Atomoxetine
521853.89,2021-07-01,11680,454293.0,,england,Atomoxetine
467113.66,2021-08-01,11072,440221.0,,england,Atomoxetine
445592.11,2021-09-01,11774,465453.0,,england,Atomoxetine
388591.97,2021-10-01,11345,443692.0,,england,Atomoxetine
375958.21,2021-11-01,11921,476208.0,,england,Atomoxetine
369149.74,2021-12-01,12247,499351.0,,england,Atomoxetine
346999.02,2022-01-01,12091,483618.0,,england,Atomoxetine
301012.75,2022-02-01,11298,458062.0,,england,Atomoxetine
328100.86,2022-03-01,12876,518015.0,,england,Atomoxetine
293067.16,2022-04-01,12361,492324.0,,england,Atomoxetine
295901.08,2022-05-01,12664,508692.0,,england,Atomoxetine
283395.88,2022-06-01,12712,514849.0,,england,Atomoxetine
273391.17,2022-07-01,12588,512347.0,,england,Atomoxetine
263951.6,2022-08-01,12705,497712.0,,england,Atomoxetine
269762.43,2022-09-01,13053,529438.0,,england,Atomoxetine
260150.41,2022-10-01,12847,521066.0,,england,Atomoxetine
263967.15,2022-11-01,13430,536965.0,,england,Atomoxetine
265819.61,2022-12-01,13311,535753.0,,england,Atomoxetine
268627.4,2023-01-01,13749,543673.0,,england,Atomoxetine
244578.79,2023-02-01,12863,511496.0,,england,Atomoxetine
274400.26,2023-03-01,14685,579002.0,,england,Atomoxetine
245492.97,2023-04-01,12997,527173.0,,england,Atomoxetine
279953.87,2023-05-01,14007,567680.0,,england,Atomoxetine
259636.5,2023-06-01,13654,585699.0,,england,Atomoxetine
277419.09,2023-07-01,13238,599088.0,,england,Atomoxetine
510246.1,2023-08-01,12042,621671.0,,england,Atomoxetine
592505.68,2023-09-01,11019,629647.0,,england,Atomoxetine
712311.09,2023-10-01,12026,629624.0,,england,Atomoxetine
855539.12,2023-11-01,13261,674973.0,,england,Atomoxetine
866944.67,2023-12-01,13112,582351.0,,england,Atomoxetine
841409.62,2024-01-01,13396,547156.0,,england,Atomoxetine
755730.36,2024-02-01,12803,514813.0,,england,Atomoxetine
762964.44,2024-03-01,13231,511260.0,,england,Atomoxetine
874662.75,2024-04-01,13494,519272.0,,england,Atomoxetine
896409.05,2024-05-01,14017,549008.0,,england,Atomoxetine
865609.87,2024-06-01,13485,525285.0,,england,Atomoxetine
961715.96,2024-07-01,14344,522552.0,,england,Atomoxetine
908118.29,2024-08-01,13524,466391.0,,england,Atomoxetine
952201.41,2024-09-01,14338,557309.0,,england,Atomoxetine
1041125.5,2024-10-01,15069,539189.0,,england,Atomoxetine
1003113.34,2024-11-01,14470,500534.0,,england,Atomoxetine
1051535.44,2024-12-01,14928,582814.0,,england,Atomoxetine
941572.63,2025-01-01,15378,569828.0,,england,Atomoxetine
866694.45,2025-02-01,14201,530558.0,,england,Atomoxetine
915771.91,2025-03-01,15242,554493.0,,england,Atomoxetine
194041.96,2020-04-01,2799,92470.0,,england,Guanfacine
182843.77,2020-05-01,2697,87262.0,,england,Guanfacine
199737.77,2020-06-01,2987,95166.0,,england,Guanfacine
217514.19,2020-07-01,3210,103825.0,,england,Guanfacine
187973.32,2020-08-01,2807,89499.0,,england,Guanfacine
211232.55,2020-09-01,3101,100552.0,,england,Guanfacine
226344.63,2020-10-01,3316,108495.0,,england,Guanfacine
228118.72,2020-11-01,3320,108778.0,,england,Guanfacine
246801.2,2020-12-01,3600,117745.0,,england,Guanfacine
236880.47,2021-01-01,3420,112458.0,,england,Guanfacine
219118.03,2021-02-01,3274,104205.0,,england,Guanfacine
257947.61,2021-03-01,3790,122992.0,,england,Guanfacine
255003.4,2021-04-01,3733,121167.0,,england,Guanfacine
252315.64,2021-05-01,3672,119969.0,,england,Guanfacine
269002.42,2021-06-01,3955,127681.0,,england,Guanfacine
273026.07,2021-07-01,4003,129412.0,,england,Guanfacine
252903.68,2021-08-01,3677,119492.0,,england,Guanfacine
288339.39,2021-09-01,4142,136896.0,,england,Guanfacine
273631.88,2021-10-01,3988,130122.0,,england,Guanfacine
288586.25,2021-11-01,4226,137165.0,,england,Guanfacine
318491.7,2021-12-01,4658,151233.0,,england,Guanfacine
311229.25,2022-01-01,4516,146971.0,,england,Guanfacine
288959.27,2022-02-01,4201,136810.0,,england,Guanfacine
334054.11,2022-03-01,4913,158310.0,,england,Guanfacine
315944.77,2022-04-01,4687,149336.0,,england,Guanfacine
342404.62,2022-05-01,4946,161879.0,,england,Guanfacine
328068.03,2022-06-01,4808,155258.0,,england,Guanfacine
340276.82,2022-07-01,4881,161137.0,,england,Guanfacine
327305.72,2022-08-01,4798,154810.0,,england,Guanfacine
342248.0,2022-09-01,4963,162293.0,,england,Guanfacine
356600.67,2022-10-01,5153,169061.0,,england,Guanfacine
372794.09,2022-11-01,5442,176484.0,,england,Guanfacine
374898.7,2022-12-01,5402,177195.0,,england,Guanfacine
389495.8,2023-01-01,5626,184452.0,,england,Guanfacine
360560.67,2023-02-01,5233,170287.0,,england,Guanfacine
422400.47,2023-03-01,6172,199676.0,,england,Guanfacine
378948.08,2023-04-01,5523,178599.0,,england,Guanfacine
426541.5,2023-05-01,6185,200804.0,,england,Guanfacine
444822.34,2023-06-01,6422,209985.0,,england,Guanfacine
445991.12,2023-07-01,6431,211336.0,,england,Guanfacine
434344.25,2023-08-01,6433,206205.0,,england,Guanfacine
442194.9,2023-09-01,6627,210093.0,,england,Guanfacine
399336.38,2023-10-01,6148,192940.0,,england,Guanfacine
267199.93,2023-11-01,4159,127698.0,,england,Guanfacine
394701.12,2023-12-01,5606,191130.0,,england,Guanfacine
466249.79,2024-01-01,6711,221779.0,,england,Guanfacine
386855.18,2024-02-01,5740,184659.0,,england,Guanfacine
410539.21,2024-03-01,6030,195715.0,,england,Guanfacine
403403.43,2024-04-01,5684,191913.0,,england,Guanfacine
493604.35,2024-05-01,7047,235265.0,,england,Guanfacine
438260.61,2024-06-01,6365,207645.0,,england,Guanfacine
480931.63,2024-07-01,6979,227684.0,,england,Guanfacine
438932.26,2024-08-01,6433,207118.0,,england,Guanfacine
459636.88,2024-09-01,6812,217696.0,,england,Guanfacine
489330.46,2024-10-01,7276,230508.0,,england,Guanfacine
489394.96,2024-11-01,7191,231290.0,,england,Guanfacine
506074.04,2024-12-01,7441,238948.0,,england,Guanfacine
539136.65,2025-01-01,7909,254051.0,,england,Guanfacine
487340.39,2025-02-01,7218,229584.0,,england,Guanfacine
525725.84,2025-03-01,7783,248362.0,,england,Guanfacine
